city_state,id_num,population,crime_rate,rental_rate,walk_score
"Gold Mountain, California",108,5.0,46.36,2477.6,44.5
"Gold River, California",109,7139.0,46.36,2477.6,44.5
"Goleta, California",110,31463.0,12.6,2477.6,42.0
"Gonzales, California",111,8596.0,10.0,2477.6,44.5
"Good Hope, California",112,9479.0,46.36,2477.6,44.5
"Goodyears Bar, California",113,-37.0,46.36,2477.6,44.5
"Goshen, California",114,3500.0,46.36,2477.6,44.5
"Graeagle, California",115,503.0,46.36,2477.6,44.5
"Grand Terrace, California",116,12621.0,23.0,2477.6,44.5
"Grangeville, California",117,471.0,46.36,2477.6,44.5
"Granite Bay, California",118,22876.0,46.36,2477.6,12.0
"Granite Hills, California",119,2977.0,46.36,2477.6,44.5
"Graniteville, California",120,6.0,46.36,2477.6,44.5
"Grass Valley, California",121,12951.0,45.1,2477.6,44.5
"Graton, California",122,1929.0,46.36,2477.6,44.5
"Grayson, California",123,1032.0,46.36,2477.6,44.5
"Greeley Hill, California",124,592.0,46.36,2477.6,44.5
"Greenacres, California",125,5612.0,46.36,2477.6,44.5
"Green Acres, California",126,3082.0,46.36,2477.6,44.5
"Greenfield, California",127,10878.0,16.4,2477.6,44.5
"Greenhorn, California",128,264.0,46.36,2477.6,44.5
"Green Valley (Los Angeles County), California",129,979.0,46.36,2477.6,44.5
"Green Valley (Solano County), California",130,1292.0,46.36,2477.6,44.5
"Greenview, California",131,149.0,46.36,2477.6,44.5
"Greenville, California",132,946.0,46.36,2477.6,44.5
"Grenada, California",133,527.0,46.36,2477.6,44.5
"Gridley, California",134,6700.0,49.9,2477.6,44.5
"Grimes, California",135,246.0,46.36,2477.6,44.5
"Grizzly Flats, California",136,1123.0,46.36,2477.6,44.5
"Groveland, California",137,312.0,46.36,2477.6,44.5
"Grover Beach, California",138,13695.0,20.2,2477.6,44.5
"Guadalupe, California",139,7597.0,8.4,2477.6,44.5
"Guerneville, California",140,4761.0,46.36,2477.6,44.5
"Guinda, California",141,255.0,46.36,2477.6,44.5
"Gustine, California",142,5899.0,22.6,2477.6,44.5
"Hacienda Heights, California",143,54727.0,46.36,2477.6,34.0
"Half Moon Bay, California",144,13296.0,46.36,2477.6,44.5
"Hamilton Branch, California",145,544.0,46.36,2477.6,44.5
"Hamilton City, California",146,2310.0,46.36,2477.6,44.5
"Hanford, California",147,57255.0,27.1,2477.6,35.0
"Happy Camp, California",148,680.0,46.36,2477.6,44.5
"Harbison Canyon, California",149,4375.0,46.36,2477.6,44.5
"Hardwick, California",150,93.0,46.36,2477.6,44.5
"Hartland, California",151,0.0,46.36,2477.6,44.5
"Hartley, California",152,3092.0,46.36,2477.6,44.5
"Hasley Canyon, California",153,1123.0,46.36,2477.6,44.5
"Hat Creek, California",154,183.0,46.36,2477.6,44.5
"Hawaiian Gardens, California",155,14466.0,22.9,2477.6,44.5
"Hawthorne, California",156,88626.0,26.3,2477.6,71.0
"Hayfork, California",157,2912.0,46.36,2477.6,44.5
"Hayward, California",158,164595.0,33.4,2477.6,55.0
"Healdsburg, California",159,12054.0,20.4,2477.6,44.5
"Heber, California",160,3622.0,46.36,2477.6,44.5
"Hemet, California",161,87056.0,38.3,2477.6,30.0
"Herald, California",162,1085.0,46.36,2477.6,44.5
"Hercules, California",163,26300.0,14.8,2477.6,25.0
"Herlong, California",164,1467.0,46.36,2477.6,44.5
"Hermosa Beach, California",165,19791.0,25.7,2477.6,87.0
"Hesperia, California",166,96461.0,25.6,2477.6,15.0
"Hickman, California",167,644.0,46.36,2477.6,44.5
"Hidden Hills, California",168,1315.0,7.8,2477.6,44.5
"Hidden Meadows, California",169,3191.0,46.36,2477.6,44.5
"Hidden Valley Lake, California",170,5605.0,46.36,2477.6,44.5
"Highgrove, California",171,5230.0,46.36,2477.6,44.5
"Highland, California",172,55885.0,24.3,2477.6,33.0
"Highlands-Baywood Park, California",173,4632.0,46.36,2477.6,44.5
"Hillsborough, California",174,11755.0,8.5,2477.6,44.5
"Hilmar-Irwin, California",175,5878.0,46.36,2477.6,44.5
"Hiouchi, California",176,341.0,46.36,2477.6,44.5
"Hollister, California",177,39222.0,15.3,2477.6,42.0
"Holtville, California",178,6659.0,14.8,2477.6,44.5
"Home Garden, California",179,1621.0,46.36,2477.6,44.5
"Home Gardens, California",180,12134.0,46.36,2477.6,44.5
"Homeland, California",181,7212.0,46.36,2477.6,44.5
"Homestead Valley, California",182,2921.0,46.36,2477.6,44.5
"Homewood Canyon, California",183,9.0,46.36,2477.6,44.5
"Honcut, California",184,-117.0,46.36,2477.6,44.5
"Hood, California",185,371.0,46.36,2477.6,44.5
"Hopland, California",186,942.0,46.36,2477.6,44.5
"Hornbrook, California",187,177.0,46.36,2477.6,44.5
"Hornitos, California",188,46.0,46.36,2477.6,44.5
"Hughson, California",189,7802.0,12.5,2477.6,44.5
"Humboldt Hill, California",190,4249.0,46.36,2477.6,44.5
"Huntington Beach, California",191,205197.0,21.7,2477.6,55.0
"Huntington Park, California",192,58810.0,37.8,2477.6,82.0
"Huron, California",193,7111.0,19.6,2477.6,44.5
"Hyampom, California",194,93.0,46.36,2477.6,44.5
"Hydesville, California",195,1013.0,46.36,2477.6,44.5
"Idlewild, California",196,-9.0,46.36,2477.6,44.5
"Idyllwild-Pine Cove, California",197,2715.0,46.36,2477.6,44.5
"Imperial, California",198,18673.0,4.8,2477.6,44.5
"Imperial Beach, California",199,27733.0,15.6,2477.6,67.0
"Independence, California",200,639.0,46.36,2477.6,44.5
"Indian Falls, California",201,100.0,46.36,2477.6,44.5
"Indianola, California",202,604.0,46.36,2477.6,44.5
"Indian Wells, California",203,5482.0,24.3,2477.6,44.5
"Indio, California",204,94633.0,30.0,2477.6,31.0
"Indio Hills, California",205,716.0,46.36,2477.6,44.5
"Industry, California",206,305.0,5251.2,2477.6,44.5
"Inglewood, California",207,110692.0,31.0,2477.6,72.0
"Interlaken, California",208,7289.0,46.36,2477.6,44.5
"Inverness, California",209,1003.0,46.36,2477.6,44.5
"Inyokern, California",210,359.0,46.36,2477.6,44.5
"Ione, California",211,7173.0,7.8,2477.6,44.5
"Iron Horse, California",212,225.0,46.36,2477.6,44.5
"Irvine, California",213,289785.0,13.3,2477.6,43.0
"Irwindale, California",214,1331.0,140.4,2477.6,44.5
"Isla Vista, California",215,29225.0,46.36,2477.6,59.0
"Isleton, California",216,526.0,28.2,2477.6,44.5
"Ivanhoe, California",217,3826.0,46.36,2477.6,44.5
"Jackson, California",218,4718.0,33.0,2477.6,44.5
"Jacumba, California",219,69.0,46.36,2477.6,44.5
"Jamestown, California",220,2272.0,46.36,2477.6,44.5
"Jamul, California",221,5712.0,46.36,2477.6,44.5
"Janesville, California",222,1367.0,46.36,2477.6,44.5
"Jenner, California",223,29.0,46.36,2477.6,44.5
"Johannesburg, California",224,78.0,46.36,2477.6,44.5
"Johnstonville, California",225,1449.0,46.36,2477.6,44.5
"Johnsville, California",226,-30.0,46.36,2477.6,44.5
"Joshua Tree, California",227,7047.0,46.36,2477.6,44.5
"Julian, California",228,734.0,46.36,2477.6,44.5
"Junction City, California",229,487.0,46.36,2477.6,44.5
"June Lake, California",230,457.0,46.36,2477.6,44.5
"Keddie, California",231,7.0,46.36,2477.6,44.5
"Keeler, California",232,-1.0,46.36,2477.6,44.5
"Keene, California",233,298.0,46.36,2477.6,44.5
"Kelly Ridge, California",234,2876.0,46.36,2477.6,44.5
"Kelseyville, California",235,3835.0,46.36,2477.6,44.5
"Kennedy, California",236,3464.0,46.36,2477.6,44.5
"Kennedy Meadows, California",237,13.0,46.36,2477.6,44.5
"Kensington, California",238,5691.0,9.3,2477.6,44.5
"Kentfield, California",239,6987.0,46.36,2477.6,44.5
"Kenwood, California",240,1184.0,46.36,2477.6,44.5
"Kerman, California",241,15448.0,27.6,2477.6,44.5
"Kernville, California",242,704.0,46.36,2477.6,44.5
"Keswick, California",243,358.0,46.36,2477.6,44.5
"Kettleman City, California",244,1561.0,46.36,2477.6,44.5
"Keyes, California",245,7023.0,46.36,2477.6,44.5
"King City, California",246,14363.0,14.5,2477.6,44.5
"Kings Beach, California",247,2908.0,46.36,2477.6,44.5
"Kingsburg, California",248,12180.0,28.6,2477.6,44.5
"Kingvale, California",249,67.0,46.36,2477.6,44.5
"Kirkwood, California",250,56.0,46.36,2477.6,44.5
"Klamath, California",251,603.0,46.36,2477.6,44.5
"Knightsen, California",252,1372.0,46.36,2477.6,44.5
"Knights Landing, California",253,1109.0,46.36,2477.6,44.5
"La Cañada Flintridge, California",254,20461.0,46.36,2477.6,33.0
"La Crescenta-Montrose, California",255,19577.0,46.36,2477.6,53.0
"Ladera, California",256,1498.0,46.36,2477.6,44.5
"Ladera Heights, California",257,7155.0,46.36,2477.6,44.5
"Ladera Ranch, California",258,32534.0,46.36,2477.6,27.0
"Lafayette, California",259,26917.0,9.0,2477.6,25.0
"Laguna Beach, California",260,23322.0,23.0,2477.6,43.0
"Laguna Hills, California",261,31728.0,14.5,2477.6,40.0
"Laguna Niguel, California",262,66838.0,10.8,2477.6,32.0
"Laguna Woods, California",263,16188.0,7.3,2477.6,44.5
"Lagunitas-Forest Knolls, California",264,1332.0,46.36,2477.6,44.5
"La Habra, California",265,62229.0,20.2,2477.6,62.0
"La Habra Heights, California",266,5994.0,13.3,2477.6,44.5
"La Honda, California",267,528.0,46.36,2477.6,44.5
"Lake Almanor Country Club, California",268,167.0,46.36,2477.6,44.5
"Lake Almanor Peninsula, California",269,480.0,46.36,2477.6,44.5
"Lake Almanor West, California",270,116.0,46.36,2477.6,44.5
"Lake Arrowhead, California",271,10391.0,46.36,2477.6,44.5
"Lake California, California",272,3292.0,46.36,2477.6,44.5
"Lake City, California",273,47.0,46.36,2477.6,44.5
"Lake Davis, California",274,71.0,46.36,2477.6,44.5
"Lake Don Pedro, California",275,916.0,46.36,2477.6,44.5
"Lake Elsinore, California",276,69803.0,30.4,2477.6,21.0
"Lake Forest, California",277,85113.0,10.8,2477.6,39.0
"Lakehead, California",278,782.0,46.36,2477.6,44.5
"Lake Hughes, California",279,468.0,46.36,2477.6,44.5
"Lake Isabella, California",280,3871.0,46.36,2477.6,44.5
"Lakeland Village, California",281,13288.0,46.36,2477.6,44.5
"Lake Los Angeles, California",282,11420.0,46.36,2477.6,44.5
"Lake Mathews, California",283,6844.0,46.36,2477.6,44.5
"Lake Nacimiento, California",284,3140.0,46.36,2477.6,44.5
"Lake of the Pines, California",285,4080.0,46.36,2477.6,44.5
"Lake of the Woods, California",286,911.0,46.36,2477.6,44.5
"Lakeport, California",287,4830.0,42.4,2477.6,44.5
"Lake Riverside, California",288,925.0,46.36,2477.6,44.5
"Lake San Marcos, California",289,4788.0,46.36,2477.6,44.5
"Lake Sherwood, California",290,1935.0,46.36,2477.6,44.5
"Lakeside, California",291,22558.0,46.36,2477.6,24.0
"Lakeview, California",292,2976.0,46.36,2477.6,44.5
"Lake Wildwood, California",293,5130.0,46.36,2477.6,44.5
"Lakewood, California",294,81207.0,26.1,2477.6,56.0
"La Mesa, California",295,60868.0,20.0,2477.6,59.0
"La Mirada, California",296,49356.0,18.7,2477.6,47.0
"Lamont, California",297,15102.0,46.36,2477.6,44.5
"Lanare, California",298,87.0,46.36,2477.6,44.5
"Lancaster, California",299,163693.0,31.1,2477.6,29.0
"La Palma, California",300,15851.0,22.5,2477.6,44.5
