YEAR,City_State,POPULATION
2021,"Homewood Canyon, California",9.0
2021,"Honcut, California",-117.0
2021,"Hood, California",371.0
2021,"Hopland, California",942.0
2021,"Hornbrook, California",177.0
2021,"Hornitos, California",46.0
2021,"Hughson, California",7802.0
2021,"Humboldt Hill, California",4249.0
2021,"Huntington Beach, California",205197.0
2021,"Huntington Park, California",58810.0
2021,"Huron, California",7111.0
2021,"Hyampom, California",93.0
2021,"Hydesville, California",1013.0
2021,"Idlewild, California",-9.0
2021,"Idyllwild-Pine Cove, California",2715.0
2021,"Imperial, California",18673.0
2021,"Imperial Beach, California",27733.0
2021,"Independence, California",639.0
2021,"Indian Falls, California",100.0
2021,"Indianola, California",604.0
2021,"Indian Wells, California",5482.0
2021,"Indio, California",94633.0
2021,"Indio Hills, California",716.0
2021,"Industry, California",305.0
2021,"Inglewood, California",110692.0
2021,"Interlaken, California",7289.0
2021,"Inverness, California",1003.0
2021,"Inyokern, California",359.0
2021,"Ione, California",7173.0
2021,"Iron Horse, California",225.0
2021,"Irvine, California",289785.0
2021,"Irwindale, California",1331.0
2021,"Isla Vista, California",29225.0
2021,"Isleton, California",526.0
2021,"Ivanhoe, California",3826.0
2021,"Jackson, California",4718.0
2021,"Jacumba, California",69.0
2021,"Jamestown, California",2272.0
2021,"Jamul, California",5712.0
2021,"Janesville, California",1367.0
2021,"Jenner, California",29.0
2021,"Johannesburg, California",78.0
2021,"Johnstonville, California",1449.0
2021,"Johnsville, California",-30.0
2021,"Joshua Tree, California",7047.0
2021,"Julian, California",734.0
2021,"Junction City, California",487.0
2021,"June Lake, California",457.0
2021,"Keddie, California",7.0
2021,"Keeler, California",-1.0
2021,"Keene, California",298.0
2021,"Kelly Ridge, California",2876.0
2021,"Kelseyville, California",3835.0
2021,"Kennedy, California",3464.0
2021,"Kennedy Meadows, California",13.0
2021,"Kensington, California",5691.0
2021,"Kentfield, California",6987.0
2021,"Kenwood, California",1184.0
2021,"Kerman, California",15448.0
2021,"Kernville, California",704.0
2021,"Keswick, California",358.0
2021,"Kettleman City, California",1561.0
2021,"Keyes, California",7023.0
2021,"King City, California",14363.0
2021,"Kings Beach, California",2908.0
2021,"Kingsburg, California",12180.0
2021,"Kingvale, California",67.0
2021,"Kirkwood, California",56.0
2021,"Klamath, California",603.0
2021,"Knightsen, California",1372.0
2021,"Knights Landing, California",1109.0
2021,"La Cañada Flintridge, California",20461.0
2021,"La Crescenta-Montrose, California",19577.0
2021,"Ladera, California",1498.0
2021,"Ladera Heights, California",7155.0
2021,"Ladera Ranch, California",32534.0
2021,"Lafayette, California",26917.0
2021,"Laguna Beach, California",23322.0
2021,"Laguna Hills, California",31728.0
2021,"Laguna Niguel, California",66838.0
2021,"Laguna Woods, California",16188.0
2021,"Lagunitas-Forest Knolls, California",1332.0
2021,"La Habra, California",62229.0
2021,"La Habra Heights, California",5994.0
2021,"La Honda, California",528.0
2021,"Lake Almanor Country Club, California",167.0
2021,"Lake Almanor Peninsula, California",480.0
